n_SN	type	n_timestep	n_tracer	radius	mass	time_Myr	posx_pc	posy_pc	posz_pc
6489	1	50353	1995	3.0856776e+20	1.7790998e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6489	1	50353	1995	3.0856776e+20	1.7790998e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6489	1	50353	1995	3.0856776e+20	1.7790998e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6489	1	50353	1995	3.0856776e+20	1.7790998e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6489	1	50353	1995	3.0856776e+20	1.7790998e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6493	1	50361	0	3.0856776e+20	2.6267075e+35	199.37236174530696	134.76562573018782	435.5468660406388	732.4218881271362
6495	2	50429	1998	2.9980229e+19	4.0172115e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6495	2	50429	1998	2.9980229e+19	4.0172115e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6495	2	50429	1998	2.9980229e+19	4.0172115e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6495	2	50429	1998	2.9980229e+19	4.0172115e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6499	2	50439	0	2.9980229e+19	3.9679415e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6495	2	50429	1998	2.9980229e+19	4.0172115e+35	199.5869260527651	103.51562391699537	498.04688263014094	1.9531249917953062
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6499	3	50462	1944	1.5151216e+20	4.7067391e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6499	3	50462	1944	1.5151216e+20	4.7067391e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6499	3	50462	1944	1.5151216e+20	4.7067391e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6499	3	50462	1944	1.5151216e+20	4.7067391e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6499	3	50462	1944	1.5151216e+20	4.7067391e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
6503	3	50472	0	1.5151216e+20	5.3127540999999996e+35	199.6763762049721	380.85936367774684	365.2343676323195	115.23437581223477
